Column,Contamination,Latent dims,Epochs,Batch size,Precision,Recall,F1,Detected_Peaks,Features,Method,n_estimators,Accuracy
CURRENT|3,0.01,,,,0.487756714,0.515873016,0.501421031,2532,all columns,IT,100,0.979582675
CURRENT|3,0.01,,,,0.484630739,0.507101086,0.495611349,2505,all columns,IT,50,0.979457977
CURRENT|3,0.01,,,,0.423529412,0.541353383,0.475247525,3060,all columns,IT,150,0.976207499
CURRENT|6,0.01,8,25,256,0.651704073,0.32571666,0.43434903,1203,all columns,AE,,
CURRENT|6,0.01,8,25,256,0.613466334,0.306605733,0.408864266,1203,all columns,AE,,
CURRENT|3,0.01,8,75,256,0.586034913,0.294486216,0.391993328,1203,all columns,AE,,
CURRENT|3,0.01,8,25,256,0.549459684,0.276106934,0.367528496,1203,all columns,AE,,
CURRENT|3,0.02,,,,0.232859705,0.705096074,0.350098517,7249,all columns,IT,100,0.947900906
CURRENT|3,0.02,,,,0.205893096,0.706349206,0.318846045,8213,all columns,IT,150,0.939936819
CURRENT|6,0.01,8,100,256,0.430590191,0.21520565,0.286980609,1203,all columns,AE,,
CURRENT|6,0.01,8,50,256,0.391521197,0.195679269,0.260941828,1203,all columns,AE,,
CURRENT|2,0.01,,,,0.22838443,0.281289775,0.252091255,2903,all columns,IT,100,0.967295702
CURRENT|2,0.01,,,,0.221602101,0.286380993,0.249861188,3046,all columns,IT,150,0.966306426
CURRENT|2,0.01,,,,0.216010586,0.277047094,0.242750929,3023,all columns,IT,50,0.966131848
CURRENT|3,0.005,4,25,32,0.601328904,0.151211362,0.241655541,602,all columns,AE,,
CURRENT|1,0.01,,,,0.204923274,0.267306088,0.231994209,3128,all columns,IT,150,0.964718597
CURRENT|3,0.05,,,,0.133013917,0.730576441,0.225053079,13149,all columns,IT,150,0.899866988
CURRENT|3,0.05,,,,0.132866601,0.729323308,0.224782749,13141,all columns,IT,100,0.899883615
CURRENT|3,0.05,,,,0.132739997,0.728905597,0.224581725,13146,all columns,IT,50,0.899825422
CURRENT|6,0.005,4,25,32,0.558139535,0.139592854,0.22333001,602,all columns,AE,,
CURRENT|3,0.02,,,,0.130585274,0.693400167,0.21978022,12712,all columns,IT,50,0.902020118
CURRENT|1,0.01,,,,0.184981154,0.266055046,0.218231572,3449,all columns,IT,100,0.962000166
