(PAR) Feature;(PAR) Epsilon;Peak Count;Mean Peak Amplitude;Mean Peak Prominence;Number of peakless sequences;;;
CMD_SPEED;0,5;48686;4,641495156;0,08737883;0;;;
CMD_SPEED;1;38566;4,779711067;0,084410959;0;;;
CMD_SPEED;1,5;32106;4,925682514;0,082984932;1;;;
CMD_SPEED;2;28226;4,980424491;0,077387701;1;;;
CMD_SPEED;2,5;25076;5,125768134;0,079683573;1;;;
CMD_SPEED;3;22346;5,324991097;0,082804566;1;;;
CMD_SPEED;3,5;19506;5,489193922;0,081928855;1;pareto candidate;;
TORQUE;0,5;1323926;0,909588056;0,058407653;0;;;
TORQUE;1;417306;1,344972449;0,085305038;0;;;
TORQUE;1,5;216716;1,923923912;0,116641513;0;;;
TORQUE;2;150036;2,423351071;0,137324798;0;;;
TORQUE;2,5;118396;2,78210855;0,147815587;0;;;
TORQUE;3;102946;3,004665645;0,155022731;0;;;
TORQUE;3,5;91936;3,201739169;0,158230527;0;pareto candidate;;best solution
