(PAR) Threshold;(PAR) Minimum Prominence;Peak Count;Mean Peak Amplitude;Mean Peak Prominence;Number of peakless sequences;;;
0,1;0,5;2726;2,443567852;0,311030772;0;pareto candidate;;
0,1;0,6;992;4,789359218;0,108932245;0;;;
0,1;0,7;857;5,345442157;0,106064711;0;;;
0,1;0,8;794;5,698846098;0,106063414;0;;;
0,1;0,9;741;6,071425771;0,112833159;0;;;
0,1;1;692;6,466418727;0,12082279;0;;;
0,1;1,1;660;6,739653434;0,126680865;0;;;
0,2;0,5;2726;2,443567852;0,311030772;0;pareto candidate;;
0,2;0,6;992;4,789359218;0,108932245;0;;;
0,2;0,7;857;5,345442157;0,106064711;0;;;
0,2;0,8;794;5,698846098;0,106063414;0;;;
0,2;0,9;741;6,071425771;0,112833159;0;;;
0,2;1;692;6,466418727;0,12082279;0;;;
0,2;1,1;660;6,739653434;0,126680865;0;;;
0,3;0,5;2726;2,443567852;0,311030772;0;pareto candidate;;
0,3;0,6;992;4,789359218;0,108932245;0;;;
0,3;0,7;857;5,345442157;0,106064711;0;;;
0,3;0,8;794;5,698846098;0,106063414;0;;;
0,3;0,9;741;6,071425771;0,112833159;0;;;
0,3;1;692;6,466418727;0,12082279;0;;;
0,3;1,1;660;6,739653434;0,126680865;0;;;
0,4;0,5;2726;2,443567852;0,311030772;0;pareto candidate;;
0,4;0,6;992;4,789359218;0,108932245;0;;;
0,4;0,7;857;5,345442157;0,106064711;0;;;
0,4;0,8;794;5,698846098;0,106063414;0;;;
0,4;0,9;741;6,071425771;0,112833159;0;;;
0,4;1;692;6,466418727;0,12082279;0;;;
0,4;1,1;660;6,739653434;0,126680865;0;;;
0,5;0,5;2726;2,443567852;0,311030772;0;pareto candidate;;
0,5;0,6;992;4,789359218;0,108932245;0;;;
0,5;0,7;857;5,345442157;0,106064711;0;;;
0,5;0,8;794;5,698846098;0,106063414;0;;;
0,5;0,9;741;6,071425771;0,112833159;0;;;
0,5;1;692;6,466418727;0,12082279;0;;;
0,5;1,1;660;6,739653434;0,126680865;0;;;
0,6;0,5;1160;4,26316109;0,119372556;0;;;
0,6;0,6;992;4,789359218;0,108932245;0;;;
0,6;0,7;857;5,345442157;0,106064711;0;;;
0,6;0,8;794;5,698846098;0,106063414;0;;;
0,6;0,9;741;6,071425771;0,112833159;0;;;
0,6;1;692;6,466418727;0,12082279;0;;;
0,6;1,1;660;6,739653434;0,126680865;0;;;
0,7;0,5;887;5,207204187;0,109511793;0;;;
0,7;0,6;875;5,26309787;0,111013669;0;;;
0,7;0,7;857;5,345442157;0,106064711;0;;;
0,7;0,8;794;5,698846098;0,106063414;0;;;
0,7;0,9;741;6,071425771;0,112833159;0;;;
0,7;1;692;6,466418727;0,12082279;0;;;
0,7;1,1;660;6,739653434;0,126680865;0;pareto candidate;;Best solution (optimal compromise between all metrics)
0,8;0,5;798;5,676600877;0,105531768;0;;;
0,8;0,6;795;5,695068466;0,105930001;0;;;
0,8;0,7;795;5,695068466;0,105930001;0;;;
0,8;0,8;794;5,698846098;0,106063414;0;;;
0,8;0,9;741;6,071425771;0,112833159;0;;;
0,8;1;692;6,466418727;0,12082279;0;;;
0,8;1,1;660;6,739653434;0,126680865;0;;;
0,9;0,5;747;6,033329076;0,111926869;0;;;
0,9;0,6;744;6,054501008;0,112378187;0;;;
0,9;0,7;744;6,054501008;0,112378187;0;;;
0,9;0,8;744;6,054501008;0,112378187;0;;;
0,9;0,9;741;6,071425771;0,112833159;0;;;
0,9;1;692;6,466418727;0,12082279;0;;;
0,9;1,1;660;6,739653434;0,126680865;0;;;
1;0,5;696;6,436122348;0,120128407;0;;;
1;0,6;693;6,460596081;0,120648443;0;;;
1;0,7;693;6,460596081;0,120648443;0;;;
1;0,8;693;6,460596081;0,120648443;0;;;
1;0,9;692;6,466418727;0,12082279;0;;;
1;1;692;6,466418727;0,12082279;0;;;
1;1,1;660;6,739653434;0,126680865;0;;;
1,1;0,5;666;6,696764402;0,125539596;0;;;
1,1;0,6;663;6,72352492;0,126107649;0;;;
1,1;0,7;663;6,72352492;0,126107649;0;;;
1,1;0,8;663;6,72352492;0,126107649;0;;;
1,1;0,9;662;6,730008606;0,126298144;0;;;
1,1;1;662;6,730008606;0,126298144;0;;;
1,1;1,1;660;6,739653434;0,126680865;0;;;
1,2;0,5;638;6,948076338;0,131049171;0;;;
1,2;0,6;637;6,956763753;0,1312549;0;;;
1,2;0,7;637;6,956763753;0,1312549;0;;;
1,2;0,8;637;6,956763753;0,1312549;0;;;
1,2;0,9;636;6,963879223;0,131461275;0;;;
1,2;1;636;6,963879223;0,131461275;0;;;
1,2;1,1;634;6,974657342;0,131875979;0;;;
1,3;0,5;627;7,051244724;0,133348279;0;;;
1,3;0,6;627;7,051244724;0,133348279;0;;;
1,3;0,7;627;7,051244724;0,133348279;0;;;
1,3;0,8;627;7,051244724;0,133348279;0;;;
1,3;0,9;626;7,058624788;0,133561296;0;;;
1,3;1;626;7,058624788;0,133561296;0;;;
1,3;1,1;624;7,069879305;0,133989377;0;;;
1,4;0,5;626;7,06196799;0,133561296;0;;;
1,4;0,6;626;7,06196799;0,133561296;0;;;
1,4;0,7;626;7,06196799;0,133561296;0;;;
1,4;0,8;626;7,06196799;0,133561296;0;;;
1,4;0,9;625;7,069377019;0,133774994;0;;;
1,4;1;625;7,069377019;0,133774994;0;;;
