(PAR) Threshold;(PAR) Minimum Prominence;Peak Count;Mean Peak Amplitude;Mean Peak Prominence;Number of peakless sequences;;;
1;0,5;113106;1,441443052;0,46779477;0;;;
1;0,6;88725;1,518892043;0,507262396;0;;;
1;0,7;70959;1,602038504;0,560179788;0;;;
1;0,8;60598;1,672539255;0,604884365;0;;;
1;0,9;51216;1,774724418;0,663941021;0;;;
1;1;44958;1,869604786;0,711570013;0;;;
1;1,1;39439;1,968519519;0,758729628;0;;;
1,5;0,5;74843;1,731306453;0,560469971;0;;;
1,5;0,6;58875;1,843972386;0,595190172;0;;;
1,5;0,7;48149;1,946675178;0,644592272;0;;;
1,5;0,8;42996;2,003839611;0,678451976;0;;;
1,5;0,9;39391;2,04882691;0,717281745;0;;;
1,5;1;37261;2,074583844;0,74181118;0;;;
1,5;1,1;34881;2,105096891;0,77683596;0;;;
2;0,5;58176;1,892294708;0,618138432;0;;;
2;0,6;43924;2,075357965;0,664783919;0;;;
2;0,7;35032;2,238932327;0,728598025;0;;;
2;0,8;31863;2,295787908;0,762127329;0;;;
2;0,9;30125;2,322054858;0,797316114;0;;;
2;1;29047;2,334120589;0,821133291;0;;;
2;1,1;27764;2,347701314;0,851783373;0;;;
2,5;0,5;47948;1,963082354;0,674286948;0;;;
2,5;0,6;34035;2,225624213;0,752292758;0;;;
2,5;0,7;25968;2,479160856;0,848931376;0;;;
2,5;0,8;23699;2,556273986;0,885320332;0;;;
2,5;0,9;22638;2,584653621;0,921105823;0;;;
2,5;1;21916;2,598853871;0,948277422;0;;;
2,5;1,1;21100;2,608935272;0,979039936;0;;;
3;0,5;40354;2,014460501;0,680548542;0;;;
3;0,6;26643;2,375384736;0,778354312;0;;;
3;0,7;18921;2,777470513;0,908013445;0;;;
3;0,8;17180;2,88656701;0,939242508;0;;;
3;0,9;16688;2,898391833;0,961950898;0;;;
3;1;16342;2,903644823;0,981420884;0;;;
3;1,1;15749;2,919424873;1,014783597;0;;;
3,5;0,5;32868;1,968187421;0,671244888;0;;;
3,5;0,6;19225;2,436404988;0,798585057;0;;;
3,5;0,7;11543;3,135438922;1,022264868;0;;;
3,5;0,8;9836;3,385776759;1,09390094;0;;;
3,5;0,9;9380;3,428248513;1,138370576;0;;;
3,5;1;9117;3,446392749;1,170164729;0;;;
3,5;1,1;8672;3,490507748;1,2295883;0;pareto candidate;;
4;0,5;28981;1,943952825;0,621823519;0;;;
4;0,6;16143;2,435811318;0,72158688;0;;;
4;0,7;8602;3,350983013;0,942597571;0;;;
4;0,8;6921;3,756916697;1,021613485;0;;;
4;0,9;6485;3,840253912;1,078211132;0;;;
4;1;6234;3,881366246;1,120433383;0;;;
4;1,1;5793;3,97931905;1,204931965;0;;;
4,5;0,5;8457;3,659468964;0,532437587;0;;;
4,5;0,6;6560;3,945109712;0,683492553;0;;;
4,5;0,7;5463;4,102245626;0,817763741;0;;;
4,5;0,8;5145;4,131969011;0,8632755;0;;;
4,5;0,9;4867;4,20638301;0,910551822;0;;;
4,5;1;4650;4,272018187;0,951603443;0;;;
4,5;1,1;4230;4,437673611;1,045405298;0;;;
5;0,5;6339;4,00707113;0,425586095;0;;;
5;0,6;4702;4,422762758;0,572555036;0;;;
5;0,7;3952;4,509175205;0,680766293;0;;;
5;0,8;3717;4,544178205;0,718958137;0;;;
5;0,9;3499;4,658511407;0,762787613;0;;;
5;1;3334;4,756366699;0,799152878;0;;;
5;1,1;2977;5,026135055;0,894248554;0;pareto candidate;;Best solution
5,5;0,5;5516;4,297631876;0,378141075;0;;;
5,5;0,6;3894;4,910651483;0,534313544;0;;;
5,5;0,7;3147;5,133429242;0,660581999;0;;;
5,5;0,8;2917;5,221415502;0,706489735;0;;;
5,5;0,9;2703;5,417870466;0,761175368;0;;;
5,5;1;2562;5,557974769;0,80126419;0;;;
5,5;1,1;2211;6,039893654;0,92784943;0;;;
6;0,5;5448;4,329705905;0,381603627;0;;;
6;0,6;3846;4,947520385;0,539201073;0;;;
6;0,7;3105;5,174942543;0,667311414;0;;;
6;0,8;2879;5,261945653;0,713435549;0;;;
6;0,9;2667;5,461247594;0,768881669;0;;;
6;1;2529;5,600599374;0,809011168;0;;;
6;1,1;2180;6,092200077;0,937901596;0;;;
6,5;0,5;5383;4,355369197;0,383792328;0;;;
6,5;0,6;3792;4,983937485;0,543448081;0;;;
6,5;0,7;3060;5,212821449;0,672872462;0;;;
6,5;0,8;2838;5,298652826;0,719157413;0;;;
6,5;0,9;2631;5,496107348;0,774456558;0;;;
6,5;1;2494;5,637695405;0,815147169;0;;;
6,5;1,1;2145;6,143353236;0,947139055;0;;;
7;0,5;5222;4,417005199;0,374721683;3;;;
7;0,6;3640;5,091376123;0,536165877;3;;;
7;0,7;2915;5,349959932;0,668911973;3;;;
7;0,8;2696;5,447324883;0,71656432;3;;;
7;0,9;2493;5,661703403;0,773559516;3;;;
7;1;2358;5,817499635;0,815888765;3;;;
7;1,1;2010;6,386198054;0,956468628;3;;;
7,5;0,5;4922;4,552860769;0,380688894;6;;;
7,5;0,6;3363;5,326124739;0,555655569;6;;;
7,5;0,7;2642;5,67011865;0,706625393;6;;;
7,5;0,8;2474;5,733883351;0,753861346;6;;;
7,5;0,9;2273;5,990962328;0,819040666;6;;;
7,5;1;2138;6,183580414;0,868597413;6;;;
7,5;1,1;1795;6,878626007;1,033814765;6;;;
8;0,5;4813;4,604384791;0,371590756;7;;;
8;0,6;3303;5,372428816;0,53995066;7;;;
8;0,7;2599;5,710873456;0,685533627;7;;;
8;0,8;2438;5,766911593;0,730045356;7;;;
8;0,9;2237;6,031095407;0,79413368;7;;;
8;1;2107;6,219897647;0,841229796;7;;;
8;1,1;1771;6,913604656;1,000060652;7;pareto candidate;;
